car,790,-9953,388,21612
car,995,-9862,384,21486
car,1934,-5682,151,12485
car,1018,-7107,211,15524
car,1116,-4501,152,10011
car,444,-10888,318,23975
car,427,-5092,154,11128
car,1167,-7264,213,16031
car,2064,-1345,337,3576
car,353,-14088,308,30926
pedestrian,656,-389,168,3252
car,689,-7603,151,16546
car,205,-4143,147,9183
car,-54,-12318,347,26831
car,1356,-6119,200,13567
car,610,-1681,307,4215
pedestrian,140,-357,109,1745
people,1946,42,201,2512
car,583,-430,250,1585
car,479,-4318,205,9925
people,2053,-111,193,2401
people,1221,-51,198,2168
